No.,NIT,RAZON SOCIAL,SUPERVISOR,REGIÓN,DEPARTAMENTO DOMICILIO,CIUDAD DOMICILIO,CIIU,MACROSECTOR,"INGRESOS OPERACIONALES
2018*",GANANCIA (PERDIDA) 2018,TOTAL ACTIVOS 2018,TOTAL PASIVOS 2018,TOTAL PATRIMONIO 2018,"INGRESOS OPERACIONALES
2017*",GANANCIA (PERDIDA) 2017,TOTAL ACTIVOS 2017,TOTAL PASIVOS 2017,TOTAL PATRIMONIO 2017,GRUPO EN NIIF,∆ INGRESOS OPERACIONALES 2017-2018,∆ GANANCIA (PERDIDA) 2017-2018,∆ ACTIVOS 2017-2018,∆ TOTAL PASIVOS 2017-2018,∆ TOTAL PATRIMONIO 2017-2018
601,890800788,SUMATEC S.A.S,SUPERSOCIEDADES,Eje Cafetero,CALDAS,MANIZALES-CALDAS,"G4663 - Comercio al por mayor de materiales de construcción, artículos de ferretería, pinturas, productos de vidrio, equipo y materiales de fontanería y calefacción",COMERCIO,1804138570.0,24231170.0,1240367040.0,1030105310.0,210261730.0,1479575200.0,17644720.0,988164260.0,786016600.0,202147660.0,NIIF PYMES-GRUPO 2,324563370.0,6586450.0,252202780.0,244088710.0,8114070.0
603,860350253,INMACULADA GUADALUPE Y  AMIGOS SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,CUNDINAMARCA,CHIA-CUNDINAMARCA,I5611 - Expendio a la mesa de comidas preparadas,SERVICIOS,1560419790.0,49413910.0,2349754330.0,1479468530.0,870285800.0,1352598390.0,-40403220.0,2714683670.0,1414376280.0,1300307390.0,NIIF PYMES-GRUPO 2,207821400.0,89817130.0,-364929340.0,65092250.0,-430021590.0
604,900089005,AMERISUR EXPLORACION COLOMBIA LIMITADA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,B0610 - Extracción de petróleo crudo,MINERO-HIDROCARBUROS,2741188960.0,-86849930.0,5371732630.0,1434370990.0,3937361640.0,2478812280.0,691407890.0,5010153050.0,1005144940.0,4005008110.0,NIIF PLENAS-GRUPO 1,262376680.0,-778257820.0,361579580.0,429226050.0,-67646470.0
605,900913341,NUEVO AEROPUERTO DE BARRANQUILLA SAS,SUPERSOCIEDADES,Costa Atlántica,ATLANTICO,SOLEDAD-ATLANTICO,F4290 - Construcción de otras obras de ingeniería civil,CONSTRUCCIÓN,1662283410.0,59069670.0,727302800.0,622322110.0,104980690.0,663823230.0,26831990.0,600639190.0,554728180.0,45911010.0,NIIF PYMES-GRUPO 2,998460180.0,32237680.0,126663610.0,67593930.0,59069680.0
606,900780755,FORD MOTOR COLOMBIA SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,G4511 - Comercio de vehículos automotores nuevos,COMERCIO,9434995930.0,373136410.0,2409015820.0,2034559410.0,374456410.0,10804971090.0,350943080.0,1750973550.0,1398710470.0,352263080.0,NIIF PYMES-GRUPO 2,-1369975160.0,22193330.0,658042270.0,635848940.0,22193330.0
608,860512249,YANBAL DE COLOMBIA S.A.S.,SUPERSOCIEDADES,Bogotá - Cundinamarca,CUNDINAMARCA,FACATATIVA-CUNDINAMARCA,"C2023 - Fabricación de jabones y detergentes, preparados para limpiar y pulir; perfumes y preparados de tocador",MANUFACTURA,6713382310.0,45831780.0,3564080040.0,2848957850.0,715122190.0,7093590420.0,217465570.0,3997076070.0,2914890060.0,1082186010.0,NIIF PLENAS-GRUPO 1,-380208110.0,-171633790.0,-432996030.0,-65932210.0,-367063820.0
609,811044814,SOCIEDAD DE COMERCIALIZACION INTERNACIONAL GIRDLE & LINGERIE S.A.S,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,"C1410 - Confección de prendas de vestir, excepto prendas de piel",MANUFACTURA,5094964710.0,319795080.0,2587517100.0,2211527660.0,375989440.0,237012630.0,101281350.0,2660817750.0,2234278810.0,426538940.0,NIIF PYMES-GRUPO 2,4857952080.0,218513730.0,-73300650.0,-22751150.0,-50549500.0
610,800000276,AVICOLA EL MADROÑO SA,SUPERSOCIEDADES,Centro - Oriente,SANTANDER,BUCARAMANGA-SANTANDER,A0145 - Cría de aves de corral,AGROPECUARIO,3421164580.0,-17568260.0,1616230870.0,1135404550.0,480826320.0,3285320120.0,-15508570.0,1585703800.0,1079754080.0,505949720.0,NIIF PYMES-GRUPO 2,135844460.0,-2059690.0,30527070.0,55650470.0,-25123400.0
611,890101279,CONTINENTE S.A.S,SUPERSOCIEDADES,Costa Atlantica,ATLANTICO,BARRANQUILLA-ATLANTICO,G4690 - Comercio al por mayor no especializado,COMERCIO,2386634700.0,17156850.0,1621262260.0,1034420350.0,586841910.0,1463328050.0,5150610.0,1852952360.0,1266662430.0,586289930.0,NIIF PLENAS-GRUPO 1,923306650.0,12006240.0,-231690100.0,-232242080.0,551980.0
615,830131993,EFECTIVO LTDA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,H5229 - Otras actividades complementarias al transporte,SERVICIOS,5200510120.0,483527130.0,3293350180.0,1985023190.0,1308326990.0,5166809290.0,374284980.0,3292129500.0,2290473160.0,1001656340.0,NIIF PYMES-GRUPO 2,33700830.0,109242150.0,1220680.0,-305449970.0,306670650.0
618,900925992,AKTOR TECHNICAL SOCIETE ANONYME COLOMBIAN BRANCH,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,F4290 - Construcción de otras obras de ingeniería civil,CONSTRUCCIÓN,1461985730.0,172954230.0,873239850.0,695583190.0,177656660.0,238472950.0,-5120740.0,608639290.0,608524340.0,114950.0,NIIF PLENAS-GRUPO 1,1223512780.0,178074970.0,264600560.0,87058850.0,177541710.0
619,860522056,LAMITECH S.A.S.,SUPERSOCIEDADES,Costa Atlántica,BOLIVAR,CARTAGENA-BOLIVAR,C2221 - Fabricación de formas básicas de plástico,MANUFACTURA,2394600180.0,43967190.0,3282158710.0,2033396050.0,1248762660.0,2100848290.0,-95778880.0,2965864040.0,1761068570.0,1204795470.0,NIIF PLENAS-GRUPO 1,293751890.0,139746070.0,316294670.0,272327480.0,43967190.0
620,800255713,PRODUCTOS LACTEOS COLFRANCE CPS EN C EN REORGANIZACION,SUPERSOCIEDADES,Bogotá - Cundinamarca,CUNDINAMARCA,FUQUENE-CUNDINAMARCA,C1040 - Elaboración de productos lácteos,MANUFACTURA,1362184640.0,68032850.0,610625180.0,492857920.0,117767260.0,871871770.0,31657150.0,348290390.0,298555980.0,49734410.0,NIIF PYMES-GRUPO 2,490312870.0,36375700.0,262334790.0,194301940.0,68032850.0
622,890900120,Suministros de Colombia S.A.S.,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,SABANETA-ANTIOQUIA,C2310 - Fabricación de vidrio y productos de vidrio,MANUFACTURA,3098413300.0,174932780.0,3699637940.0,1345566290.0,2354071650.0,3158822200.0,1100528640.0,3516139010.0,1305124710.0,2211014300.0,NIIF PLENAS-GRUPO 1,-60408900.0,-925595860.0,183498930.0,40441580.0,143057350.0
623,900342297,COMERCIALIZADORA ARTURO CALLE SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,G4771 - Comercio al por menor de prendas de vestir y sus accesorios (incluye artículos de piel) en establecimientos especializados,COMERCIO,4627166090.0,190168180.0,3384063200.0,2013561930.0,1370501270.0,4644180000.0,104579380.0,3378237890.0,1102728360.0,2275509.53,NIIF PLENAS-GRUPO 1,-17013910.0,85588800.0,5825310.0,910833570.0,1368225760.47
625,830008524,BLULOGISTICS COLOMBIA SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,H5224 - Manipulación de carga,SERVICIOS,3020989680.0,23544600.0,1474947510.0,1091628780.0,383318730.0,1529348680.0,15394790.0,1335223270.0,975449140.0,359774130.0,NIIF PYMES-GRUPO 2,1491641000.0,8149810.0,139724240.0,116179640.0,23544600.0
626,800133807,Scandinavia Pharma Ltda,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,"C2100 - Fabricación de productos farmacéuticos, sustancias químicas medicinales y productos botánicos de uso farmacéutico",MANUFACTURA,2176575670.0,45941510.0,2430948520.0,1252990510.0,1177958010.0,1654867150.0,17059320.0,2191987310.0,1059970810.0,1132016500.0,NIIF PLENAS-GRUPO 1,521708520.0,28882190.0,238961210.0,193019700.0,45941510.0
627,860020308,COMESTIBLES RICOS SA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,C1089 - Elaboración de otros productos alimenticios n.c.p.,MANUFACTURA,1637918400.0,103095500.0,1087438090.0,422749270.0,664688820.0,1542733350.0,103790450.0,1004165500.0,368131970.0,636033530.0,NIIF PYMES-GRUPO 2,95185050.0,-694950.0,83272590.0,54617300.0,28655290.0
628,900279810,TUSCANY SOUTH AMERICA LTD SUCURSAL COLOMBIA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,B0910 - Actividades de apoyo para la extracción de petróleo y de gas natural,MINERO-HIDROCARBUROS,2291782990.0,128863670.0,5177847120.0,894842670.0,4283004450.0,1517309880.0,66230360.0,4825664790.0,651983590.0,4173681200.0,NIIF PLENAS-GRUPO 1,774473110.0,62633310.0,352182330.0,242859080.0,109323250.0
629,860003831,PRODCUTOS RAMO SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,C1081 - Elaboración de productos de panadería,MANUFACTURA,4374185080.0,36392530.0,3190054280.0,1372134590.0,1817919690.0,4209555600.0,58869580.0,3405103740.0,1549984920.0,1855118820.0,NIIF PLENAS-GRUPO 1,164629480.0,-22477050.0,-215049460.0,-177850330.0,-37199130.0
630,860403972,POLLOS SAVICOL SA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,A0145 - Cría de aves de corral,AGROPECUARIO,2088202510.0,32793590.0,1021650060.0,397276380.0,624373680.0,1934205050.0,14412990.0,905050770.0,305113810.0,599936960.0,NIIF PYMES-GRUPO 2,153997460.0,18380600.0,116599290.0,92162570.0,24436720.0
632,900522508,INVERSIONES SUPERVAQUITA LA 33 S.A.S.,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,"G4711 - Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos, bebidas o tabaco",COMERCIO,2148932780.0,125465160.0,451693990.0,274061900.0,177632090.0,1578925270.0,41121410.0,343625290.0,264323440.0,79301850.0,NIIF PYMES-GRUPO 2,570007510.0,84343750.0,108068700.0,9738460.0,98330240.0
633,890301886,FABRICA NACIONAL DE AUTOPARTES FANALCA S.A.,SUPERSOCIEDADES,Costa Pacífica,VALLE,YUMBO-VALLE,C3091 - Fabricación de motocicletas,MANUFACTURA,9149281440.0,287704860.0,8801181020.0,5807442990.0,2993738030.0,8003711210.0,106043680.0,7939217380.0,4301291890.0,3637925490.0,NIIF PLENAS-GRUPO 1,1145570230.0,181661180.0,861963640.0,1506151100.0,-644187460.0
634,890209174,ISMOCOL S.A.,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,B0910 - Actividades de apoyo para la extracción de petróleo y de gas natural,MINERO-HIDROCARBUROS,5370089150.0,506809560.0,5701342080.0,1937813720.0,3763528360.0,2843639170.0,232696820.0,4252825460.0,996106660.0,3256718800.0,NIIF PYMES-GRUPO 2,2526449980.0,274112740.0,1448516620.0,941707060.0,506809560.0
635,860002134,ABBOTT LABORATORIES DE COLOMBIA SA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,"G4645 - Comercio al por mayor de productos farmacéuticos, medicinales, cosméticos y de tocador",COMERCIO,6964383010.0,166850200.0,6647891350.0,2001375920.0,4646515430.0,6349169270.0,-133774720.0,5413963490.0,903323300.0,4510640190.0,NIIF PLENAS-GRUPO 1,615213740.0,300624920.0,1233927860.0,1098052620.0,135875240.0
636,860008018,ESTUDIOS TECNICOS SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,M7110 - Actividades de arquitectura e ingeniería y otras actividades conexas de consultoría técnica,SERVICIOS,1864314100.0,139755310.0,1094327100.0,565493750.0,528833350.0,959979270.0,61348070.0,961451080.0,577409340.0,384041740.0,NIIF PLENAS-GRUPO 1,904334830.0,78407240.0,132876020.0,-11915590.0,144791610.0
637,900459737,GRUPO EDS AUTOGAS SAS,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,ENVIGADO-ANTIOQUIA,G4731 - Comercio al por menor de combustible para automotores,COMERCIO,7056817210.0,53624610.0,1213123280.0,687268670.0,525854610.0,6620435870.0,702823230.0,1235407410.0,675887760.0,559519650.0,NIIF PYMES-GRUPO 2,436381340.0,-649198620.0,-22284130.0,11380910.0,-33665040.0
638,900329780,PETROELECTRICA DE LOS LLANOS LTD SUCURSAL COLOMBIA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,D3512 - Transmisión de energía eléctrica,SERVICIOS,1386080490.0,-24115350.0,4782819340.0,3427728250.0,1355091090.0,955735780.0,407662250.0,2955074150.0,3094007290.0,-138933140.0,NIIF PLENAS-GRUPO 1,430344710.0,-431777600.0,1827745190.0,333720960.0,1494024230.0
639,860048626,MINIPAK S A S,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,C2221 - Fabricación de formas básicas de plástico,MANUFACTURA,1488306070.0,177463340.0,1794989520.0,558646680.0,1236342840.0,1398607270.0,134753490.0,1601546560.0,540543180.0,1061003380.0,NIIF PYMES-GRUPO 2,89698800.0,42709850.0,193442960.0,18103500.0,175339460.0
640,900087414,RIOPAILA CASTILLA S.A.,SUPERFINANCIERA,Costa Pacífica,VALLE,CALI-VALLE,C1071 - Elaboración y refinación de azúcar,MANUFACTURA,8623320610.0,-857526410.0,11760251720.0,7810208150.0,3950043570.0,9002488240.0,-405319800.0,12472692160.0,7649958210.0,4822733950.0,NIIF PLENAS-GRUPO 1,-379167630.0,-452206610.0,-712440440.0,160249940.0,-872690380.0
642,890106814,GRANOS Y CEREALES DE COLOMBIA SA,SUPERSOCIEDADES,Costa Atlántica,ATLANTICO,SOLEDAD-ATLANTICO,C1051 - Elaboración de productos de molinería,MANUFACTURA,2144425950.0,118511570.0,1823414000.0,1211240470.0,612173530.0,1777306250.0,90093750.0,1268636570.0,798552960.0,470083610.0,NIIF PLENAS-GRUPO 1,367119700.0,28417820.0,554777430.0,412687510.0,142089920.0
643,800165377,GRUPO DECOR SAS,SUPERSOCIEDADES,Costa Pacífica,VALLE,CALI-VALLE,"G4663 - Comercio al por mayor de materiales de construcción, artículos de ferretería, pinturas, productos de vidrio, equipo y materiales de fontanería y calefacción",COMERCIO,2121813840.0,79840650.0,1432445170.0,1029242580.0,403202590.0,1805406010.0,45226180.0,1148369900.0,748919240.0,399450660.0,NIIF PLENAS-GRUPO 1,316407830.0,34614470.0,284075270.0,280323340.0,3751930.0
645,811032292,CONSTRUCTORA CAPITAL MEDELLIN S.A.S,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,F4111 - Construcción de edificios residenciales,CONSTRUCCIÓN,5829237890.0,899197670.0,5758117120.0,4390646820.0,1367470300.0,2801615470.0,195650120.0,6379684390.0,5832453180.0,547231210.0,NIIF PLENAS-GRUPO 1,3027622420.0,703547550.0,-621567270.0,-1441806360.0,820239090.0
646,802000849,JANNA MOTORS SAS,SUPERSOCIEDADES,Costa Atlántica,ATLANTICO,BARRANQUILLA-ATLANTICO,G4511 - Comercio de vehículos automotores nuevos,COMERCIO,1391539700.0,1348300.0,1130554460.0,634533780.0,496020680.0,1460854070.0,14408300.0,1063803950.0,569346250.0,494457700.0,NIIF PYMES-GRUPO 2,-69314370.0,-13060000.0,66750510.0,65187530.0,1562980.0
648,900891350,GOAM 1 C.I S.A.S,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTÁ D.C.,BOGOTA-D.C.-BOGOTA D.C.,B0610 - Extracción de petróleo crudo,MINERO-HIDROCARBUROS,4424403640.0,-55680510.0,1209061620.0,1199673300.0,9388320.0,1751994460.0,2889090.0,948309040.0,933682110.0,14626930.0,NIIF PYMES-GRUPO 2,2672409180.0,-58569600.0,260752580.0,265991190.0,-5238610.0
649,900749166,MECO INFRAESTRUCTURA SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,F4210 - Construcción de carreteras y vías de ferrocarril,CONSTRUCCIÓN,2159509770.0,-321981250.0,3088051640.0,2522037940.0,566013700.0,3074491850.0,-7997930.0,3248370440.0,2360375490.0,887994950.0,NIIF PLENAS-GRUPO 1,-914982080.0,-313983320.0,-160318800.0,161662450.0,-321981250.0
652,811045607,INVERSIONES EURO SA,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,ITAGUI-ANTIOQUIA,C1011 - Procesamiento y conservación de carne y productos cárnicos,MANUFACTURA,3475667620.0,33906180.0,1201025970.0,862439320.0,338586650.0,3566374960.0,33218840.0,1146157070.0,841476590.0,304680480.0,NIIF PLENAS-GRUPO 1,-90707340.0,687340.0,54868900.0,20962730.0,33906170.0
653,900818642,CONSTRUCCIONES COLOMBIANAS OHL SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,F4210 - Construcción de carreteras y vías de ferrocarril,CONSTRUCCIÓN,1448136230.0,-893997020.0,1996355320.0,1986833700.0,9521620.0,1980487340.0,141749450.0,1455661690.0,1242144700.0,213516990.0,NIIF PLENAS-GRUPO 1,-532351110.0,-1035746470.0,540693630.0,744689000.0,-203995370.0
658,819004712,C.I. TEQUENDAMA S.A.S.,SUPERSOCIEDADES,Costa Atlántica,MAGDALENA,SANTA-MARTA-MAGDALENA,C1030 - Elaboración de aceites y grasas de origen vegetal y animal,MANUFACTURA,4028176900.0,-164670340.0,6306380520.0,4479853820.0,1826526700.0,3578144150.0,159721360.0,4794114230.0,3231152900.0,1562961330.0,NIIF PLENAS-GRUPO 1,450032750.0,-324391700.0,1512266290.0,1248700920.0,263565370.0
659,860502105,IN BOND GEMA SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,"G4711 - Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos, bebidas o tabaco",COMERCIO,1649451520.0,-129837350.0,1038885930.0,1156982640.0,-118096710.0,1905522800.0,-51861390.0,1211844920.0,1200104280.0,11740640.0,NIIF PLENAS-GRUPO 1,-256071280.0,-77975960.0,-172958990.0,-43121640.0,-129837350.0
660,860006333,Yara Colombia S.A.,SUPERSOCIEDADES,Costa Atlántica,BOLIVAR,CARTAGENA-BOLIVAR,C2012 - Fabricación de abonos y compuestos inorgánicos nitrogenados,MANUFACTURA,11611687950.0,-747636400.0,12740777660.0,8040088250.0,4700689410.0,10637099510.0,-591395810.0,10959316190.0,7538842030.0,3420474160.0,NIIF PLENAS-GRUPO 1,974588440.0,-156240590.0,1781461470.0,501246220.0,1280215250.0
661,830008804,KIAPLAZA SA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,G4511 - Comercio de vehículos automotores nuevos,COMERCIO,1575206010.0,60662780.0,846410760.0,311489230.0,534921530.0,169355080.0,68210200.0,972526420.0,433513770.0,539012650.0,NIIF PYMES-GRUPO 2,1405850930.0,-7547420.0,-126115660.0,-122024540.0,-4091120.0
662,830023542,CAMARGO CORREA INFRA  PROJETOS  S.A SUCURSAL COLOMBIA,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,F4290 - Construcción de otras obras de ingeniería civil,CONSTRUCCIÓN,4329504530.0,218433520.0,1881646280.0,1259562360.0,622083920.0,4921283300.0,211521170.0,2080832750.0,1286129210.0,794703540.0,NIIF PLENAS-GRUPO 1,-591778770.0,6912350.0,-199186470.0,-26566850.0,-172619620.0
663,860005265,Gaseosas Colombianas S.A.S,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,"C1104 - Elaboración de bebidas no alcohólicas, producción de aguas minerales y de otras aguas embotelladas",MANUFACTURA,5281609160.0,122504770.0,4865460900.0,2091058660.0,2774402240.0,4825868610.0,189504940.0,4669150740.0,1204512440.0,3464638300.0,NIIF PLENAS-GRUPO 1,455740550.0,-67000170.0,196310160.0,886546220.0,-690236060.0
664,890911431,CONINSA RAMON H S.A,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,F4290 - Construcción de otras obras de ingeniería civil,CONSTRUCCIÓN,2268320960.0,123415130.0,5327060760.0,3515326250.0,1811734510.0,2054083990.0,111461890.0,4646102750.0,2935282240.0,1710820510.0,NIIF PLENAS-GRUPO 1,214236970.0,11953240.0,680958010.0,580044010.0,100914000.0
665,800012375,QBCO S.A.S.,SUPERSOCIEDADES,Costa Pacífica,VALLE,BUGA-VALLE,C1030 - Elaboración de aceites y grasas de origen vegetal y animal,MANUFACTURA,2098299570.0,-39157500.0,1784839690.0,954638330.0,830201360.0,2327481580.0,-60005300.0,1855926470.0,997096460.0,858830010.0,NIIF PLENAS-GRUPO 1,-229182010.0,20847800.0,-71086780.0,-42458130.0,-28628650.0
666,890900076,CINE COLOMBIA S.A.,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,J5914 - Actividades de exhibición de películas cinematográficas y videos,SERVICIOS,5354326720.0,800997510.0,7000579710.0,2880956410.0,4119623300.0,5062338730.0,677379060.0,6761466400.0,2815084820.0,3946381580.0,NIIF PLENAS-GRUPO 1,291987990.0,123618450.0,239113310.0,65871590.0,173241720.0
667,900561761,INGRAM MICRO SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,CUNDINAMARCA,COTA-CUNDINAMARCA,"G4651 - Comercio al por mayor de computadores, equipo periférico y programas de informática",COMERCIO,3160644960.0,-4216230.0,2399787320.0,2248072990.0,151714330.0,2455762230.0,30206930.0,1568548900.0,1412618340.0,155930560.0,NIIF PYMES-GRUPO 2,704882730.0,-34423160.0,831238420.0,835454650.0,-4216230.0
668,860036884,ERNST & YOUNG SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,"M6920 - Actividades de contabilidad, teneduría de libros, auditoría financiera y asesoría tributaria",SERVICIOS,1735378500.0,192714900.0,664230600.0,359900570.0,304330030.0,1438180040.0,153881280.0,601392570.0,363720490.0,237672080.0,NIIF PLENAS-GRUPO 1,297198460.0,38833620.0,62838030.0,-3819920.0,66657950.0
669,800212840,LOREAL COLOMBIA S.A.S,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,"G4645 - Comercio al por mayor de productos farmacéuticos, medicinales, cosméticos y de tocador",COMERCIO,2991334890.0,50203260.0,3899067190.0,1866797070.0,2032270120.0,2941565030.0,-89690500.0,3570318700.0,1598681040.0,1971637660.0,NIIF PLENAS-GRUPO 1,49769860.0,139893760.0,328748490.0,268116030.0,60632460.0
670,900040299,ATLANTIC FS SAS,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,"G4723 - Comercio al por menor de carnes (incluye aves de corral), productos cárnicos, pescados y productos de mar, en establecimientos especializados",COMERCIO,1858509580.0,66699070.0,584892380.0,413143220.0,171749160.0,1541115360.0,31285060.0,456692230.0,338320330.0,118371900.0,NIIF PLENAS-GRUPO 1,317394220.0,35414010.0,128200150.0,74822890.0,53377260.0
671,890903024,COMERCIAL INTERNACIONAL DE EQUIPOS Y MAQUNARIA S.A.S,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,G4511 - Comercio de vehículos automotores nuevos,COMERCIO,3340616400.0,23755520.0,3904850540.0,2290379910.0,1614470630.0,3406050620.0,-121540060.0,3531341620.0,1940718360.0,1590623260.0,NIIF PLENAS-GRUPO 1,-65434220.0,145295580.0,373508920.0,349661550.0,23847370.0
672,804016671,CAMPOLLO S.A.,SUPERSOCIEDADES,Centro - Oriente,SANTANDER,BUCARAMANGA-SANTANDER,A0145 - Cría de aves de corral,AGROPECUARIO,4586978560.0,-234145620.0,2498074650.0,1419189730.0,1078884920.0,4053450530.0,-171986900.0,4321017460.0,2628258870.0,1692758590.0,NIIF PYMES-GRUPO 2,533528030.0,-62158720.0,-1822942810.0,-1209069140.0,-613873670.0
674,860025900,ALPINA PRODUCTOS ALIMENTICIOS S A,SUPERFINANCIERA,Bogotá - Cundinamarca,CUNDINAMARCA,SOPO-CUNDINAMARCA,C1040 - Elaboración de productos lácteos,MANUFACTURA,17973230480.0,856308500.0,10789452690.0,9145357130.0,1644095560.0,17957622490.0,811556780.0,10194654070.0,8746816030.0,1447838040.0,NIIF PLENAS-GRUPO 1,15607990.0,44751720.0,594798620.0,398541100.0,196257520.0
675,890906119,PLASTIQUIMICA SAS,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,SABANETA-ANTIOQUIA,C2221 - Fabricación de formas básicas de plástico,MANUFACTURA,1442482030.0,45382190.0,1566553270.0,826184190.0,740369080.0,1323157380.0,77502530.0,1491633610.0,796646730.0,694986880.0,NIIF PLENAS-GRUPO 1,119324650.0,-32120340.0,74919660.0,29537460.0,45382200.0
676,860002175,SCHLUMBERGER SURENCO SA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,B0910 - Actividades de apoyo para la extracción de petróleo y de gas natural,MINERO-HIDROCARBUROS,10741823390.0,38373870.0,12847982400.0,1920771810.0,10927210590.0,8881640250.0,734952310.0,12281719350.0,1425510350.0,10856209000.0,NIIF PLENAS-GRUPO 1,1860183140.0,-696578440.0,566263050.0,495261460.0,71001590.0
677,800020706,NALSANI SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,"C1513 - Fabricación de artículos de viaje, bolsos de mano y artículos similares; artículos de talabartería y guarnicionería elaborados en otros materiales",MANUFACTURA,4676521230.0,50411300.0,3838229150.0,2920784440.0,917444710.0,4875625340.0,335942700.0,3940626700.0,3073593290.0,867033410.0,NIIF PLENAS-GRUPO 1,-199104110.0,-285531400.0,-102397550.0,-152808850.0,50411300.0
678,890321151,CARVAJAL TECNOLOGIA Y SERVICIOS S.A.S.,SUPERSOCIEDADES,Costa Pacífica,VALLE,CALI-VALLE,"J6311 - Procesamiento de datos, alojamiento (hosting) y actividades relacionadas",SERVICIOS,4452622450.0,481326820.0,2602172860.0,1219114650.0,1383058210.0,2214757610.0,28105680.0,2298670670.0,1246783570.0,1051887100.0,NIIF PLENAS-GRUPO 1,2237864840.0,453221140.0,303502190.0,-27668920.0,331171110.0
